feature,importance
PAY_0,0.030750000000000055
TOTAL_PAY_DELAY,0.01853333333333338
AGE,0.0013166666666666992
BILL_AMT5,0.0011500000000000399
MARRIAGE,0.0007000000000000562
PAY_AMT5,0.0006166666666666987
PAY_4,0.0005500000000000504
BILL_AMT2,0.0005166666666667208
TOTAL_BILL,0.000366666666666704
BILL_AMT3,0.000366666666666704
SEX,0.00018333333333339085
BILL_AMT4,0.00016666666666671494
INSTALL_RATIO,0.0
OWN_HOUSE,0.0
EDUCATION,-0.00013333333333328534
AVG_BILL,-0.00023333333333329652
PAY_AMT4,-0.0004333333333332745
PAY_AMT6,-0.0008333333333332971
BILL_AMT1,-0.0008999999999999453
PAY_2,-0.0009499999999999619
BILL_AMT6,-0.0010166666666666213
PAY_AMT3,-0.001083333333333314
PAY_5,-0.001133333333333275
AVG_PAY,-0.001183333333333292
PAY_AMT1,-0.0017499999999999517
PAY_3,-0.002166666666666628
LIMIT_BAL,-0.002683333333333282
PAY_6,-0.003049999999999953
PAY_AMT2,-0.003783333333333283
TOTAL_PAY,-0.004216666666666635
